Id,Sales
1,7441.2812
2,10468.044
3,11961.725
4,8537.62
5,7978.9253
6,7348.6895
7,14928.813
8,12241.452
9,8028.4556
10,8106.2466
11,9992.166
12,11458.891
13,9875.7295
14,11957.448
15,9051.362
16,8020.8276
17,9457.049
18,14944.955
19,15789.274
20,15404.957
21,10588.338
22,9702.49
23,10138.454
24,7687.751
25,11492.166
26,13736.43
27,12722.128
28,8173.294
29,7135.25
30,7254.2324
31,7843.8335
32,14270.883
33,10736.701
34,8101.9688
35,8208.629
36,10053.978
37,6376.6387
38,11225.725
39,6796.0586
40,9683.399
41,12822.32
42,9728.216
43,10469.27
44,9573.496
45,7306.1025
46,9714.363
47,10865.002
48,14967.438
49,9295.496
50,12035.978
51,11559.853
52,14888.699
53,11001.82
54,14521.34
55,7227.2266
56,7557.08
57,9913.762
58,9366.92
59,12259.316
60,10966.852
61,8332.518
62,10730.497
63,9343.265
64,14807.141
65,7476.822
66,18207.91
67,7186.1255
68,9204.011
69,11943.82
70,9600.353
71,9104.964
72,9954.063
73,11018.482
74,8355.106
75,8429.62
76,11142.591
77,11229.727
78,10485.4795
79,6856.929
80,9660.046
81,13135.113
82,9808.717
83,7739.12
84,10007.214
85,8904.376
86,10748.262
87,9971.878
88,6891.7466
89,10624.825
90,9206.298
91,9856.206
92,8769.342
93,6865.1255
94,10370.596
95,8592.58
96,12170.605
97,14108.088
98,7199.0083
99,8005.519
100,8399.715
101,8811.172
102,8882.303
103,12180.284
104,10799.192
105,11125.236
106,8817.735
107,7105.4795
108,10038.267
109,13244.902
110,13304.503
111,12145.34
112,12215.236
113,9257.468
114,12544.632
115,9086.019
116,11814.939
117,13562.537
118,10173.821
119,13531.69
120,10924.311
121,11128.947
122,9600.376
123,10591.997
124,11014.564
125,9422.598
126,7323.327
127,10377.844
128,12191.225
129,10500.119
130,8041.0835
131,11836.829
132,9220.397
133,8687.997
134,7813.45
135,8278.688
136,11146.934
137,10752.465
138,10677.965
139,8683.18
140,7659.99
141,9387.298
142,7092.739
143,9549.208
144,7534.971
145,12738.09
146,10500.377
147,9059.601
148,10186.884
149,8839.02
150,7651.0435
151,14280.899
152,10974.056
153,11606.555
154,10665.04
155,9137.681
156,9549.509
157,8482.524
158,10979.143
159,17333.592
160,8190.7876
161,4450.203
162,9124.393
163,12234.877
164,12901.48
165,9656.91
166,10424.388
167,7337.7827
168,7925.719
169,5787.37
170,7317.7773
171,9639.258
172,10153.766
173,10685.637
174,8933.875
175,11263.391
176,13235.986
177,11119.84
178,7244.946
179,13587.077
180,16638.748
181,10064.568
182,9489.941
183,7075.672
184,8348.3955
185,6548.9033
186,11260.592
187,8810.633
188,12571.312
189,11356.342
190,15316.878
191,17158.047
192,10650.246
193,12345.811
194,27625.893
195,16883.084
196,9259.817
197,4639.4077
198,8663.73
199,14863.452
200,8157.5864
201,12460.798
202,26625.918
203,7077.808
204,7656.7217
205,16945.283
206,8701.99
207,14384.227
208,11311.008
209,10637.793
210,5928.452
211,10257.972
212,10455.457
213,11184.812
214,11868.917
215,9998.827
216,9109.204
217,8313.463
218,7481.0303
219,6737.621
220,9905.129
221,9096.074
222,9527.092
223,10423.827
224,8944.704
225,8096.305
226,10578.045
227,10801.42
228,12029.811
229,7293.4473
230,8923.748
231,8627.765
232,6679.9834
233,8774.592
234,10182.856
235,7798.6504
236,7042.6
237,14109.233
238,11062.515
239,12616.988
240,9464.031
241,8903.009
242,7557.0835
243,6731.66
244,13253.507
245,7318.5312
246,13481.18
247,23395.828
248,11246.403
249,11801.932
250,8829.819
251,7071.183
252,10041.149
253,6593.816
254,9113.421
255,13835.12
256,9783.233
257,21442.309
258,20274.328
259,7764.517
260,10503.08
261,7403.5073
262,9586.167
263,8083.135
264,14332.207
265,10771.609
266,11932.955
267,7494.3755
268,9720.921
269,7291.596
270,11611.571
271,10579.023
272,9214.171
273,9643.552
274,7469.651
275,11592.08
276,14158.336
277,8249.205
278,13990.554
279,10206.149
280,13076.817
281,6452.685
282,7227.835
283,7546.5117
284,13330.28
285,10167.049
286,11079.244
287,10415.402
288,12111.462
289,7438.3906
290,12495.948
291,11559.981
292,7412.193
293,18916.299
294,22560.832
295,12324.685
296,14547.465
297,14381.961
298,14754.371
299,14649.627
300,8883.76
301,11461.468
302,9219.373
303,12428.674
304,6932.3145
305,9134.152
306,8855.213
307,8724.802
308,10757.716
309,7894.529
310,8258.099
311,9103.059
312,6158.9517
313,6567.6045
314,7660.4976
315,10019.43
316,13375.472
